"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2009","AFR","GNQ","14184","","","",""
"WHS3_48","PUBLISHED","2010","AFR","GNQ","53813","","","",""
"WHS3_48","PUBLISHED","2011","AFR","GNQ","22466","","","",""
"WHS3_48","PUBLISHED","2006","AFR","ERI","6541","","","",""
"WHS3_48","PUBLISHED","2007","AFR","ERI","15565","","","",""
"WHS3_48","PUBLISHED","2008","AFR","ERI","8764","","","",""
"WHS3_48","PUBLISHED","2009","AFR","ERI","11759","","","",""
"WHS3_48","PUBLISHED","2010","AFR","ERI","35982","","","",""
"WHS3_48","PUBLISHED","2011","AFR","ERI","34848","","","",""
"WHS3_48","PUBLISHED","2006","AFR","ETH","447780","","","",""
"WHS3_48","PUBLISHED","2007","AFR","ETH","451816","","","",""
"WHS3_48","PUBLISHED","2008","AFR","ETH","458561","","","",""
"WHS3_48","PUBLISHED","2009","AFR","ETH","1036316","","","",""
"WHS3_48","PUBLISHED","2010","AFR","ETH","1158197","","","",""
"WHS3_48","PUBLISHED","2011","AFR","ETH","1480306","","","",""
"WHS3_48","PUBLISHED","2006","AFR","GAB","33458","","","",""
"WHS3_48","PUBLISHED","2007","AFR","GAB","45186","","","",""
"WHS3_48","PUBLISHED","2008","AFR","GAB","40701","","","",""
"WHS3_48","PUBLISHED","2009","AFR","GAB","660","","","",""
"WHS3_48","PUBLISHED","2010","AFR","GAB","8566","","","",""
"WHS3_48","PUBLISHED","2008","AFR","GMB","39164","","","",""
"WHS3_48","PUBLISHED","2009","AFR","GMB","50378","","","",""
"WHS3_48","PUBLISHED","2010","AFR","GMB","116353","","","",""
"WHS3_48","PUBLISHED","2011","AFR","GMB","261967","","","",""
"WHS3_48","PUBLISHED","2006","EUR","GEO","58","","","",""
"WHS3_48","PUBLISHED","2007","EUR","GEO","24","","","",""
"WHS3_48","PUBLISHED","2008","EUR","GEO","6","","","",""
"WHS3_48","PUBLISHED","2009","EUR","GEO","1","","","",""
"WHS3_48","PUBLISHED","2010","EUR","GEO","0","","","",""
"WHS3_48","PUBLISHED","2011","EUR","GEO","0","","","",""
"WHS3_48","PUBLISHED","2006","AFR","GHA","472255","","","",""
"WHS3_48","PUBLISHED","2007","AFR","GHA","476484","","","",""
"WHS3_48","PUBLISHED","2008","AFR","GHA","1094483","","","",""
"WHS3_48","PUBLISHED","2009","AFR","GHA","1104370","","","",""
"WHS3_48","PUBLISHED","2010","AFR","GHA","1071637","","","",""
"WHS3_48","PUBLISHED","2011","AFR","GHA","1041260","","","",""
"WHS3_48","PUBLISHED","2006","AMR","GTM","31093","","","",""
"WHS3_48","PUBLISHED","2007","AMR","GTM","15382","","","",""
"WHS3_48","PUBLISHED","2008","AMR","GTM","7193","","","",""
"WHS3_48","PUBLISHED","2009","AMR","GTM","7080","","","",""
"WHS3_48","PUBLISHED","2010","AMR","GTM","7384","","","",""
"WHS3_48","PUBLISHED","2011","AMR","GTM","6822","","","",""
"WHS3_48","PUBLISHED","2006","AFR","GIN","54227","","","",""
"WHS3_48","PUBLISHED","2007","AFR","GIN","44518","","","",""
"WHS3_48","PUBLISHED","2008","AFR","GIN","33405","","","",""
"WHS3_48","PUBLISHED","2009","AFR","GIN","35841","","","",""
"WHS3_48","PUBLISHED","2011","AFR","GIN","95574","","","",""
"WHS3_48","PUBLISHED","2006","AFR","GNB","15120","","","",""
"WHS3_48","PUBLISHED","2007","AFR","GNB","14284","","","",""
"WHS3_48","PUBLISHED","2008","AFR","GNB","11299","","","",""
"WHS3_48","PUBLISHED","2009","AFR","GNB","11757","","","",""
"WHS3_48","PUBLISHED","2010","AFR","GNB","50391","","","",""
"WHS3_48","PUBLISHED","2011","AFR","GNB","71982","","","",""
"WHS3_48","PUBLISHED","2006","AMR","GUY","21064","","","",""
"WHS3_48","PUBLISHED","2007","AMR","GUY","11657","","","",""
"WHS3_48","PUBLISHED","2008","AMR","GUY","11774","","","",""
